user_id,project_id
7,1
12,1
6,2
2,3
4,3
8,3
11,3
12,3
13,3
17,3
21,3
25,3
26,3
28,3
34,3
35,3
37,3
40,3
65,3
78,3
134,3
185,3
194,3
209,3
292,3
2,4
3,4
4,4
5,4
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
16,4
17,4
21,4
23,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,4
38,4
40,4
41,4
42,4
43,4
44,4
49,4
50,4
52,4
53,4
54,4
58,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
71,4
72,4
73,4
78,4
79,4
80,4
81,4
83,4
84,4
85,4
86,4
87,4
89,4
90,4
91,4
93,4
94,4
95,4
97,4
98,4
99,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
117,4
119,4
120,4
122,4
124,4
125,4
126,4
127,4
128,4
129,4
130,4
131,4
132,4
133,4
134,4
135,4
136,4
137,4
138,4
139,4
140,4
141,4
142,4
143,4
144,4
145,4
146,4
147,4
148,4
150,4
151,4
153,4
154,4
155,4
156,4
157,4
160,4
161,4
162,4
163,4
166,4
167,4
168,4
169,4
171,4
173,4
174,4
175,4
176,4
177,4
178,4
179,4
180,4
181,4
182,4
183,4
184,4
185,4
186,4
187,4
188,4
189,4
191,4
192,4
193,4
194,4
196,4
199,4
200,4
201,4
202,4
203,4
204,4
205,4
206,4
207,4
209,4
210,4
211,4
212,4
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,4
224,4
225,4
226,4
227,4
228,4
229,4
230,4
231,4
232,4
233,4
234,4
235,4
236,4
237,4
238,4
239,4
240,4
241,4
242,4
244,4
245,4
246,4
247,4
249,4
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
262,4
263,4
264,4
265,4
266,4
267,4
268,4
269,4
270,4
271,4
272,4
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,4
288,4
289,4
290,4
291,4
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,4
300,4
301,4
302,4
303,4
304,4
305,4
306,4
307,4
308,4
309,4
310,4
311,4
313,4
314,4
315,4
316,4
317,4
318,4
319,4
320,4
321,4
322,4
323,4
324,4
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,4
335,4
336,4
3,5
8,5
10,5
12,5
13,5
16,5
25,5
26,5
28,5
30,5
32,5
34,5
41,5
44,5
49,5
50,5
52,5
53,5
54,5
63,5
65,5
67,5
68,5
69,5
72,5
78,5
80,5
83,5
84,5
85,5
86,5
87,5
89,5
93,5
95,5
99,5
102,5
103,5
105,5
117,5
119,5
120,5
122,5
124,5
133,5
134,5
135,5
136,5
138,5
141,5
143,5
144,5
146,5
150,5
151,5
153,5
154,5
156,5
163,5
167,5
183,5
191,5
209,5
214,5
215,5
224,5
235,5
237,5
259,5
278,5
6,6
6,7
4,8
32,8
5,9
8,9
12,9
20,9
23,9
13,10
7,11
8,11
12,11
13,11
14,11
15,11
18,11
19,11
20,11
23,11
24,11
12,12
1,16
2,16
4,16
8,16
10,16
13,16
26,16
32,16
36,16
37,16
38,16
11,18
1,19
2,19
4,19
10,19
13,19
26,19
32,19
36,19
42,19
59,19
60,19
61,19
75,19
77,19
98,19
123,19
130,19
133,19
139,19
140,19
142,19
145,19
147,19
1,20
2,20
4,20
10,20
13,20
19,20
20,20
26,20
32,20
34,20
36,20
58,20
17,22
17,23
16,24
17,24
26,24
37,24
10,25
53,25
78,25
105,25
214,25
215,25
13,26
1,29
2,29
4,29
8,29
10,29
13,29
24,29
26,29
28,29
31,29
32,29
34,29
35,29
36,29
38,29
42,29
49,29
50,29
52,29
64,29
65,29
78,29
79,29
209,29
235,29
335,29
4,30
31,32
1,33
2,33
4,33
10,33
13,33
26,33
32,33
36,33
42,33
59,33
60,33
61,33
75,33
77,33
98,33
123,33
130,33
133,33
139,33
140,33
142,33
147,33
2,34
4,34
17,34
26,34
29,34
30,34
35,34
10,35
27,35
29,35
30,35
34,35
35,35
37,35
38,35
42,35
43,35
44,35
49,35
52,35
58,35
71,35
17,36
11,37
1,38
2,38
4,38
8,38
10,38
13,38
16,38
17,38
21,38
25,38
26,38
28,38
32,38
34,38
35,38
36,38
37,38
40,38
42,38
49,38
50,38
52,38
53,38
54,38
59,38
60,38
61,38
65,38
70,38
73,38
74,38
78,38
137,38
141,38
194,38
209,38
322,38
4,45
11,45
16,45
26,45
30,45
32,45
37,45
8,46
10,48
29,49
25,50
26,51
32,51
26,52
1,53
2,53
4,53
10,53
13,53
16,53
26,53
31,53
32,53
36,53
42,53
59,53
60,53
61,53
75,53
77,53
98,53
123,53
130,53
133,53
139,53
140,53
142,53
147,53
32,54
36,54
37,54
1,55
2,55
4,55
10,55
13,55
26,55
32,55
36,55
37,55
29,56
37,56
38,56
1,58
2,58
4,58
10,58
13,58
26,58
32,58
36,58
39,58
42,58
59,58
60,58
61,58
75,58
77,58
98,58
123,58
130,58
133,58
139,58
140,58
142,58
145,58
147,58
29,59
1,61
2,61
4,61
10,61
13,61
16,61
26,61
32,61
34,61
36,61
37,61
39,61
50,61
52,61
54,61
1,62
2,62
4,62
10,62
13,62
16,62
26,62
32,62
36,62
1,63
2,63
4,63
10,63
13,63
26,63
32,63
36,63
40,63
29,64
34,64
1,66
2,66
4,66
10,66
13,66
26,66
32,66
36,66
39,66
40,66
43,67
1,68
2,68
4,68
10,68
13,68
26,68
32,68
36,68
40,68
1,69
2,69
4,69
10,69
13,69
26,69
32,69
36,69
1,70
2,70
4,70
10,70
13,70
26,70
32,70
36,70
44,70
45,70
46,70
47,70
48,70
1,71
2,71
4,71
10,71
13,71
26,71
32,71
36,71
1,73
2,73
4,73
10,73
13,73
26,73
32,73
36,73
40,73
1,74
2,74
4,74
10,74
13,74
26,74
32,74
36,74
45,74
1,75
2,75
4,75
10,75
13,75
26,75
32,75
36,75
1,76
2,76
4,76
10,76
13,76
26,76
32,76
36,76
50,76
52,76
1,77
2,77
4,77
10,77
13,77
26,77
32,77
36,77
30,78
54,78
1,79
2,79
4,79
10,79
13,79
16,79
26,79
32,79
36,79
50,79
52,79
54,79
55,79
1,80
2,80
4,80
10,80
13,80
26,80
32,80
36,80
50,80
52,80
54,80
55,80
1,81
2,81
4,81
10,81
13,81
16,81
26,81
30,81
32,81
36,81
40,81
50,81
52,81
54,81
55,81
1,82
2,82
4,82
10,82
13,82
26,82
32,82
36,82
55,82
134,82
1,83
2,83
4,83
10,83
13,83
14,83
16,83
26,83
32,83
36,83
54,83
55,83
56,83
57,83
1,85
2,85
4,85
10,85
13,85
26,85
32,85
36,85
59,85
73,85
1,86
2,86
4,86
10,86
13,86
26,86
32,86
36,86
50,86
59,86
1,88
2,88
4,88
10,88
13,88
26,88
32,88
36,88
45,88
46,88
48,88
59,88
60,88
1,89
2,89
4,89
10,89
13,89
26,89
32,89
36,89
40,89
45,89
48,89
59,89
60,89
73,89
194,89
1,92
2,92
4,92
10,92
13,92
26,92
32,92
36,92
42,92
59,92
60,92
61,92
1,93
2,93
4,93
10,93
13,93
26,93
32,93
36,93
42,93
59,93
60,93
61,93
1,95
2,95
4,95
10,95
13,95
26,95
32,95
36,95
50,95
59,95
60,95
61,95
58,96
1,97
2,97
4,97
10,97
13,97
21,97
26,97
32,97
36,97
42,97
58,97
59,97
60,97
61,97
70,97
1,98
2,98
4,98
10,98
13,98
26,98
32,98
36,98
42,98
59,98
60,98
61,98
1,99
2,99
4,99
10,99
13,99
26,99
29,99
32,99
36,99
42,99
59,99
60,99
61,99
1,100
2,100
4,100
10,100
13,100
26,100
30,100
32,100
36,100
42,100
59,100
60,100
61,100
1,101
2,101
3,101
4,101
10,101
13,101
26,101
32,101
36,101
42,101
59,101
60,101
61,101
1,102
2,102
4,102
10,102
13,102
26,102
32,102
36,102
42,102
52,102
59,102
60,102
61,102
69,102
1,103
2,103
4,103
10,103
13,103
26,103
32,103
36,103
42,103
59,103
60,103
61,103
63,103
1,104
2,104
4,104
10,104
13,104
21,104
26,104
32,104
36,104
42,104
59,104
60,104
61,104
62,104
64,104
70,104
1,105
2,105
4,105
10,105
13,105
26,105
32,105
36,105
42,105
59,105
60,105
61,105
66,105
1,106
2,106
4,106
10,106
13,106
21,106
26,106
32,106
36,106
42,106
59,106
60,106
61,106
67,106
69,106
1,107
2,107
4,107
10,107
13,107
21,107
26,107
32,107
36,107
42,107
59,107
60,107
61,107
68,107
70,107
1,110
2,110
4,110
10,110
13,110
26,110
32,110
36,110
42,110
59,110
60,110
61,110
75,110
77,110
98,110
123,110
130,110
133,110
139,110
140,110
142,110
1,112
2,112
4,112
10,112
13,112
26,112
32,112
36,112
42,112
59,112
60,112
61,112
73,112
75,112
77,112
98,112
123,112
130,112
133,112
139,112
140,112
142,112
147,112
1,113
2,113
4,113
10,113
13,113
21,113
26,113
32,113
36,113
42,113
50,113
59,113
60,113
61,113
70,113
65,114
1,115
2,115
3,115
4,115
10,115
13,115
16,115
21,115
26,115
32,115
36,115
42,115
50,115
59,115
60,115
61,115
70,115
1,116
2,116
4,116
10,116
13,116
21,116
26,116
32,116
36,116
42,116
59,116
60,116
61,116
70,116
71,116
1,117
2,117
4,117
10,117
13,117
21,117
26,117
32,117
36,117
42,117
59,117
60,117
61,117
70,117
71,117
1,118
2,118
4,118
10,118
13,118
21,118
26,118
32,118
36,118
42,118
59,118
60,118
61,118
70,118
1,119
2,119
4,119
10,119
13,119
21,119
26,119
32,119
36,119
42,119
59,119
60,119
61,119
70,119
1,120
2,120
4,120
10,120
13,120
21,120
26,120
32,120
36,120
42,120
59,120
60,120
61,120
70,120
1,121
2,121
4,121
10,121
13,121
21,121
26,121
32,121
36,121
42,121
59,121
60,121
61,121
70,121
1,122
2,122
4,122
10,122
13,122
21,122
26,122
32,122
36,122
42,122
59,122
60,122
61,122
70,122
72,122
1,123
2,123
4,123
10,123
13,123
21,123
26,123
30,123
32,123
36,123
42,123
59,123
60,123
61,123
70,123
72,123
1,124
2,124
4,124
10,124
13,124
21,124
26,124
32,124
36,124
42,124
59,124
60,124
61,124
69,124
70,124
1,125
2,125
4,125
10,125
13,125
21,125
26,125
32,125
36,125
42,125
59,125
60,125
61,125
70,125
1,126
2,126
4,126
10,126
13,126
21,126
26,126
32,126
36,126
42,126
59,126
60,126
61,126
70,126
1,127
2,127
4,127
10,127
13,127
21,127
26,127
32,127
34,127
36,127
42,127
59,127
60,127
61,127
70,127
1,128
2,128
4,128
10,128
13,128
21,128
26,128
32,128
36,128
42,128
43,128
59,128
60,128
61,128
70,128
1,129
2,129
4,129
10,129
13,129
21,129
26,129
32,129
34,129
36,129
42,129
59,129
60,129
61,129
70,129
73,129
1,130
2,130
4,130
10,130
13,130
21,130
26,130
32,130
36,130
42,130
59,130
60,130
61,130
70,130
73,130
71,131
1,132
2,132
4,132
10,132
13,132
26,132
32,132
36,132
42,132
52,132
59,132
60,132
61,132
70,132
74,132
75,132
77,132
1,133
2,133
4,133
10,133
13,133
26,133
32,133
36,133
42,133
59,133
60,133
61,133
70,133
71,133
74,133
75,133
77,133
50,134
72,134
1,135
2,135
4,135
10,135
13,135
21,135
26,135
32,135
36,135
42,135
59,135
60,135
61,135
70,135
72,135
74,135
1,136
2,136
4,136
10,136
13,136
26,136
32,136
36,136
42,136
59,136
60,136
61,136
70,136
74,136
75,136
77,136
1,137
2,137
4,137
10,137
13,137
26,137
32,137
36,137
42,137
52,137
59,137
60,137
61,137
70,137
74,137
75,137
77,137
1,138
2,138
4,138
10,138
13,138
26,138
32,138
36,138
42,138
59,138
60,138
61,138
70,138
71,138
74,138
75,138
77,138
1,139
2,139
4,139
10,139
13,139
26,139
32,139
36,139
42,139
59,139
60,139
61,139
69,139
70,139
74,139
75,139
77,139
1,140
2,140
4,140
10,140
13,140
26,140
32,140
36,140
42,140
59,140
60,140
61,140
69,140
70,140
74,140
75,140
77,140
1,141
2,141
4,141
10,141
13,141
26,141
32,141
36,141
42,141
59,141
60,141
61,141
70,141
74,141
75,141
77,141
80,141
1,142
2,142
4,142
10,142
13,142
16,142
26,142
32,142
36,142
42,142
59,142
60,142
61,142
70,142
74,142
75,142
77,142
1,143
2,143
4,143
10,143
13,143
26,143
32,143
36,143
42,143
59,143
60,143
61,143
70,143
73,143
74,143
75,143
77,143
78,143
98,143
104,143
123,143
130,143
133,143
139,143
140,143
142,143
79,144
1,146
2,146
4,146
10,146
13,146
26,146
32,146
36,146
42,146
59,146
60,146
61,146
70,146
74,146
75,146
77,146
1,149
2,149
4,149
10,149
13,149
26,149
32,149
34,149
36,149
42,149
59,149
60,149
61,149
70,149
74,149
75,149
77,149
1,150
2,150
4,150
10,150
13,150
26,150
32,150
36,150
42,150
59,150
60,150
61,150
70,150
74,150
75,150
77,150
1,151
2,151
4,151
10,151
13,151
26,151
32,151
36,151
42,151
59,151
60,151
61,151
70,151
74,151
75,151
77,151
1,152
2,152
4,152
10,152
13,152
26,152
32,152
36,152
42,152
59,152
60,152
61,152
70,152
73,152
74,152
75,152
77,152
1,153
2,153
4,153
10,153
13,153
26,153
32,153
36,153
42,153
50,153
59,153
60,153
61,153
70,153
74,153
75,153
77,153
1,154
2,154
4,154
10,154
13,154
26,154
32,154
36,154
42,154
59,154
60,154
61,154
70,154
74,154
75,154
77,154
34,155
1,157
2,157
4,157
10,157
13,157
26,157
32,157
36,157
42,157
59,157
60,157
61,157
70,157
74,157
75,157
77,157
81,157
1,158
2,158
4,158
10,158
13,158
26,158
32,158
36,158
42,158
50,158
59,158
60,158
61,158
70,158
74,158
75,158
77,158
98,158
123,158
130,158
133,158
139,158
140,158
142,158
1,159
2,159
4,159
10,159
13,159
26,159
32,159
36,159
42,159
59,159
60,159
61,159
70,159
74,159
75,159
77,159
52,164
52,165
79,166
1,167
2,167
4,167
10,167
13,167
26,167
32,167
36,167
42,167
59,167
60,167
61,167
70,167
74,167
75,167
77,167
1,168
2,168
4,168
10,168
13,168
26,168
32,168
36,168
42,168
59,168
60,168
61,168
70,168
74,168
75,168
77,168
78,168
1,170
2,170
4,170
10,170
13,170
26,170
32,170
36,170
42,170
59,170
60,170
61,170
70,170
74,170
75,170
77,170
1,171
2,171
4,171
10,171
13,171
26,171
32,171
36,171
42,171
59,171
60,171
61,171
70,171
72,171
74,171
75,171
77,171
1,172
2,172
4,172
10,172
13,172
26,172
32,172
36,172
42,172
59,172
60,172
61,172
70,172
74,172
75,172
77,172
1,173
2,173
4,173
10,173
13,173
26,173
32,173
36,173
42,173
59,173
60,173
61,173
70,173
72,173
74,173
75,173
77,173
1,174
2,174
4,174
10,174
13,174
26,174
32,174
36,174
42,174
59,174
60,174
61,174
70,174
74,174
75,174
77,174
69,175
69,177
69,178
79,179
1,180
2,180
4,180
10,180
13,180
26,180
32,180
36,180
42,180
59,180
60,180
61,180
70,180
74,180
75,180
77,180
83,180
1,181
2,181
4,181
10,181
13,181
26,181
32,181
36,181
42,181
59,181
60,181
61,181
70,181
74,181
75,181
77,181
83,181
1,182
2,182
4,182
10,182
13,182
26,182
32,182
36,182
42,182
59,182
60,182
61,182
70,182
74,182
75,182
77,182
84,182
1,183
2,183
4,183
10,183
13,183
26,183
32,183
36,183
42,183
59,183
60,183
61,183
70,183
74,183
75,183
77,183
85,183
1,184
2,184
4,184
10,184
